FECHA,PRECIP,EVAP,TMAX,TMIN,clas
22/06/2011,0.5,2.2,25.2,14.8,Si
23/06/2011,14.5,0.5,24.6,12.9,Si
24/06/2011,8.5,1.44,25,15,Si
25/06/2011,0.9,8.3,23.6,13.8,Si
26/06/2011,6.1,0.9,25.8,14.3,Si
27/06/2011,10.5,6.2,26,13,Si
28/06/2011,3.7,10.6,22.6,14,Si
29/06/2011,3.8,3.6,20.4,14.2,Si
30/06/2011,57,3.8,16.9,14.5,Si
01/07/2011,5.8,5.9,22.7,13.3,Si
02/07/2011,34.9,5.8,22.6,14,Si
03/07/2011,28.4,3.47,22.6,13.2,Si
04/07/2011,3.9,2.85,21.5,12.2,Si
05/07/2011,42.5,3.9,24.4,13,Si
06/07/2011,19.3,4.3,25.2,13.3,Si
07/07/2011,4,2.01,25.1,13.8,Si
08/07/2011,0.3,4.1,24.7,13,Si
09/07/2011,6.7,0.3,21.9,13.2,Si
10/07/2011,5,6.8,26.3,14,Si
11/07/2011,4.9,5,24.1,14.2,Si
12/07/2011,9.7,5,25.1,13.9,Si
13/07/2011,4.1,9.7,22.4,13.2,Si
14/07/2011,31.8,8.2,21.5,13.5,Si
15/07/2011,7,2.79,24.8,13.5,Si
16/07/2011,0,6.6,20,12.8,No
17/07/2011,0.9,NULO,21.6,13.5,Si
18/07/2011,0,0.8,24.5,13.8,No
19/07/2011,1.6,NULO,26.5,13,Si
20/07/2011,0,1.5,26.8,14.6,No
21/07/2011,1.4,NULO,26.4,14,Si
22/07/2011,19.5,1.4,25.4,12.8,Si
23/07/2011,0.2,1.94,26.4,12,Si
24/07/2011,5.3,0.2,24.5,14,Si
25/07/2011,8.4,5.4,24.6,13,Si
26/07/2011,13.6,8.4,25.3,14,Si
27/07/2011,0,3.7,24.6,13,No
28/07/2011,11.6,NULO,25.4,13.3,Si
29/07/2011,4.5,1.16,24.5,13.5,Si
30/07/2011,14.4,NULO,23.2,14.2,Si
31/07/2011,0,1.42,21.4,13,No
01/08/2011,0,1.42,22.4,13,No
